customer_id,segment,arm,day,price_ratio,quoted_price,accepted,revenue
1802,SMB,treatment,18,1.0582528364222343,104.05335245788629,1,104.05335245788629
1802,SMB,treatment,56,1.06324074806227,646.4825542850738,1,646.4825542850738
1802,SMB,treatment,2,1.0825569112602993,758.6057549643608,1,758.6057549643608
1802,SMB,treatment,44,1.0621488736051468,135.17649340758805,0,0.0
1191,SMB,treatment,74,1.0695167780398016,416.81786211937685,1,416.81786211937685
1818,SMB,control,42,1.021364206645596,291.57072441524815,1,291.57072441524815
252,Occasional,treatment,68,1.076686967584656,99.88845534300903,1,99.88845534300903
2506,Enterprise,treatment,34,1.1344867469420896,71.99286222450378,1,71.99286222450378
2506,Enterprise,treatment,33,1.2034026046090347,616.29869577167,1,616.29869577167
2506,Enterprise,treatment,20,1.221118488430854,236.7832384798826,1,236.7832384798826
2506,Enterprise,treatment,7,1.1709223624755203,153.6646278052386,1,153.6646278052386
2506,Enterprise,treatment,70,1.1985076279285385,32.632098650637275,1,32.632098650637275
2506,Enterprise,treatment,70,1.131287846953228,180.94279174623892,1,180.94279174623892
1118,SMB,treatment,35,1.0598804054368522,190.20227124111594,1,190.20227124111594
1118,SMB,treatment,55,1.0594085906392665,303.2472999398288,1,303.2472999398288
1412,Occasional,treatment,32,1.0428473279526282,339.4791877324161,1,339.4791877324161
2114,SMB,control,80,0.93611730072851,162.7192754957732,1,162.7192754957732
409,Mid-Market,control,18,0.9891822843140731,79.73571670890117,1,79.73571670890117
409,Mid-Market,control,18,0.9904202185646798,2508.2473102945896,1,2508.2473102945896
409,Mid-Market,control,65,1.0274995204278852,141.37854220058688,1,141.37854220058688
409,Mid-Market,control,57,1.0085153982812751,129.69225523424174,0,0.0
2580,Occasional,treatment,8,1.0983187081695873,63.58136340736211,1,63.58136340736211
2255,Occasional,control,11,1.043329122851429,313.79778056874824,0,0.0
53,SMB,control,85,0.9193523731065802,95.05963617421412,1,95.05963617421412
645,SMB,treatment,75,1.0984297733340944,429.59873898237976,1,429.59873898237976
1764,Mid-Market,treatment,22,1.1400799078546882,173.58761578185698,1,173.58761578185698
1764,Mid-Market,treatment,89,1.1155179768065253,43.05870353291734,0,0.0
1764,Mid-Market,treatment,39,1.1614844799904092,46.35406209682482,1,46.35406209682482
1764,Mid-Market,treatment,63,1.0945248371156568,35.91971400089952,1,35.91971400089952
2777,SMB,treatment,24,1.1021813994017722,105.32197789601642,1,105.32197789601642
901,SMB,treatment,26,1.1115094940840373,216.05372865753935,1,216.05372865753935
1074,Occasional,control,66,0.973574154555018,136.13395158514774,1,136.13395158514774
473,Mid-Market,control,20,0.9987411871478433,86.55892128132305,1,86.55892128132305
473,Mid-Market,control,53,0.9517111897826868,152.09658528994368,1,152.09658528994368
473,Mid-Market,control,53,0.9516348658806599,177.14346093284374,1,177.14346093284374
473,Mid-Market,control,89,0.9912338061650491,218.82690403552962,1,218.82690403552962
473,Mid-Market,control,16,0.9553439165004065,174.6045594273218,1,174.6045594273218
473,Mid-Market,control,76,0.980399404226472,111.51586516721325,1,111.51586516721325
2739,SMB,treatment,9,1.0792703327457793,444.3830053387228,1,444.3830053387228
2547,Occasional,treatment,74,1.0566494608575014,36.53723892539588,1,36.53723892539588
45,Occasional,treatment,45,1.1359670427449402,118.82993538125453,1,118.82993538125453
290,Mid-Market,control,50,0.996636666640147,81.72269171256853,0,0.0
290,Mid-Market,control,6,0.9909139398084899,756.4107376548619,1,756.4107376548619
913,Occasional,control,18,1.0091450260902821,51.003573132229135,1,51.003573132229135
2084,Mid-Market,control,74,0.9316779762940641,100.52011031925328,1,100.52011031925328
2084,Mid-Market,control,69,1.0016074813907296,364.61391470895114,1,364.61391470895114
2084,Mid-Market,control,11,1.000941000982967,221.35150049317332,1,221.35150049317332
2084,Mid-Market,control,45,1.0173001744306143,202.5160169703015,1,202.5160169703015
1361,SMB,control,68,0.9809848590278122,139.69855856865618,1,139.69855856865618
2896,Mid-Market,treatment,12,1.1112769872578452,36.162036269282375,1,36.162036269282375
2604,SMB,treatment,44,1.0617653596071113,97.37289382667522,1,97.37289382667522
1227,SMB,control,21,0.9946737935144208,120.92602317788467,1,120.92602317788467
1227,SMB,control,52,0.9932185495628271,272.7760611230708,1,272.7760611230708
297,Occasional,control,13,0.9644133823448663,137.71618461968777,1,137.71618461968777
1242,Mid-Market,control,32,1.00666270586885,160.17999702663246,1,160.17999702663246
1242,Mid-Market,control,49,1.0040010136296373,22.425573250282962,1,22.425573250282962
1006,Mid-Market,control,9,0.935467271430942,70.03853438636733,1,70.03853438636733
1666,Occasional,treatment,47,1.0603408631431535,68.50795242128873,0,0.0
747,Mid-Market,treatment,18,1.1364274296071644,86.30014036546605,0,0.0
747,Mid-Market,treatment,89,1.1343126973206037,67.84951070178515,1,67.84951070178515
747,Mid-Market,treatment,37,1.1246673100554028,177.4473577872972,1,177.4473577872972
2852,SMB,control,48,0.9456904754883488,61.678760292481,1,61.678760292481
292,Enterprise,treatment,51,1.177723076257466,393.65004547979856,1,393.65004547979856
292,Enterprise,treatment,37,1.1111894465986332,42.65844608677054,1,42.65844608677054
